Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience
Leonardo,Abstract,Modern,Watercolor,"20""x30""",No,Chicago,782,10,Standard,Cool Tones,Copy,Print,Office,Joyful,Natural Light,N/A,Interior Designers
Olivia,Portrait,Realism,Oil,"18""x24""",No,Toronto,907,6,Free Shipping,Warm Tones,Copy,Real,Bedroom,Reflective,Dim Light,N/A,Interior Designers
Frida,Seascape,Impressionism,Mixed Media,"20""x30""",Yes,Chicago,290,9,Express,Earthy Tones,Copy,Real,Gallery,Calming,Dim Light,Screen Print,Interior Designers
Emma,Portrait,Abstract Expressionism,Acrylic,"24""x36""",No,Montreal,891,4,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Dim Light,Screen Print,Young Professionals
Jija,Seascape,Realism,Watercolor,"20""x30""",No,Montreal,413,6,Express,Neutral Tones,Copy,Real,Living Room,Energetic,Bright Light,Screen Print,Interior Designers
Leonardo,Portrait,Abstract Expressionism,Watercolor,"24""x36""",No,Toronto,794,5,Free Shipping,Cool Tones,Original,Print,Gallery,Joyful,Dim Light,Screen Print,Art Collectors
Noah,Abstract,Realism,Charcoal,"24""x36""",No,Vancouver,965,10,Standard,Neutral Tones,Copy,Print,Living Room,Reflective,Natural Light,N/A,Families
Noah,Still Life,Modern,Charcoal,"24""x36""",No,Chicago,231,7,Free Shipping,Warm Tones,Copy,Print,Office,Joyful,Dim Light,Lithograph,Interior Designers
Jija,Portrait,Impressionism,Watercolor,"24""x36""",No,Montreal,727,3,Express,Cool Tones,Copy,Real,Office,Relaxing,Natural Light,Giclée,Families
Leonardo,Seascape,Abstract Expressionism,Mixed Media,"24""x36""",No,Los Angeles,221,10,Free Shipping,Neutral Tones,Copy,Print,Gallery,Relaxing,Natural Light,Lithograph,Interior Designers
Vincent,Wildlife,Cubism,Watercolor,"30""x40""",No,Montreal,171,5,Standard,Warm Tones,Original,Real,Living Room,Energetic,Bright Light,N/A,Corporate Clients
Pablo,Portrait,Surrealism,Oil,"30""x40""",No,Toronto,907,9,Express,Oceanic Tones,Copy,Print,Kid Room,Relaxing,Dim Light,Lithograph,Art Collectors
Noah,Landscape,Modern,Charcoal,"30""x40""",No,Calgary,469,7,Express,Earthy Tones,Copy,Print,Gallery,Calming,Dim Light,Lithograph,Families
Jija,Still Life,Surrealism,Watercolor,"20""x30""",No,Montreal,657,5,Standard,Earthy Tones,Original,Real,Bedroom,Reflective,Natural Light,Screen Print,Young Professionals
Claude,Seascape,Cubism,Watercolor,"24""x36""",Yes,Calgary,734,6,Express,Neutral Tones,Original,Real,Gallery,Calming,Natural Light,Screen Print,Interior Designers
Pablo,Fantasy,Realism,Watercolor,"20""x30""",Yes,Calgary,715,6,Standard,Earthy Tones,Original,Real,Bedroom,Calming,Bright Light,Screen Print,Families
Claude,Seascape,Realism,Acrylic,"20""x30""",Yes,Calgary,868,4,Express,Warm Tones,Original,Real,Gallery,Reflective,Dim Light,Lithograph,Art Collectors
Vincent,Landscape,Surrealism,Charcoal,"16""x20""",No,Calgary,528,9,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Dim Light,Lithograph,Art Collectors
Emma,Fantasy,Impressionism,Acrylic,"16""x20""",No,Miami,450,4,Free Shipping,Earthy Tones,Original,Print,Kid Room,Reflective,Bright Light,N/A,Interior Designers
Noah,Fantasy,Impressionism,Acrylic,"30""x40""",No,Los Angeles,581,10,Standard,Oceanic Tones,Copy,Real,Kid Room,Joyful,Bright Light,N/A,Corporate Clients
Ava,Wildlife,Surrealism,Watercolor,"20""x30""",Yes,Los Angeles,149,4,Express,Warm Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Art Collectors
Leonardo,Abstract,Realism,Mixed Media,"18""x24""",No,Montreal,680,7,Standard,Cool Tones,Original,Print,Bedroom,Relaxing,Natural Light,Screen Print,Young Professionals
Olivia,Wildlife,Impressionism,Charcoal,"20""x30""",No,Montreal,179,7,Express,Warm Tones,Original,Real,Office,Calming,Natural Light,Screen Print,Families
Emma,Seascape,Abstract Expressionism,Oil,"16""x20""",No,New York,657,8,Express,Cool Tones,Copy,Print,Kid Room,Relaxing,Bright Light,N/A,Young Professionals
Pablo,Wildlife,Modern,Charcoal,"24""x36""",Yes,Los Angeles,508,8,Express,Earthy Tones,Copy,Print,Living Room,Energetic,Dim Light,Giclée,Families
Frida,Portrait,Surrealism,Charcoal,"24""x36""",Yes,Calgary,508,9,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Natural Light,Lithograph,Interior Designers
Liam,Landscape,Surrealism,Acrylic,"16""x20""",Yes,Calgary,854,5,Free Shipping,Earthy Tones,Original,Print,Office,Reflective,Bright Light,N/A,Art Collectors
Ava,Still Life,Cubism,Watercolor,"24""x36""",No,New York,774,7,Standard,Earthy Tones,Copy,Real,Bedroom,Joyful,Dim Light,N/A,Interior Designers
Frida,Landscape,Surrealism,Mixed Media,"30""x40""",Yes,Calgary,205,6,Free Shipping,Earthy Tones,Copy,Real,Living Room,Relaxing,Bright Light,Lithograph,Interior Designers
Olivia,Fantasy,Surrealism,Mixed Media,"30""x40""",No,Chicago,197,4,Express,Warm Tones,Original,Print,Gallery,Energetic,Dim Light,Giclée,Families
Emma,Portrait,Impressionism,Acrylic,"20""x30""",Yes,Miami,212,7,Free Shipping,Earthy Tones,Original,Real,Bedroom,Reflective,Dim Light,Lithograph,Art Collectors
Olivia,Portrait,Abstract Expressionism,Oil,"20""x30""",Yes,New York,857,5,Free Shipping,Warm Tones,Copy,Print,Gallery,Joyful,Natural Light,N/A,Young Professionals
Pablo,Still Life,Surrealism,Charcoal,"18""x24""",Yes,Vancouver,657,5,Standard,Neutral Tones,Copy,Real,Bedroom,Reflective,Dim Light,Giclée,Art Collectors
Olivia,Seascape,Surrealism,Watercolor,"20""x30""",Yes,Los Angeles,918,7,Standard,Warm Tones,Copy,Print,Bedroom,Energetic,Natural Light,N/A,Young Professionals
Vincent,Still Life,Abstract Expressionism,Mixed Media,"18""x24""",No,Vancouver,671,4,Standard,Neutral Tones,Original,Print,Office,Calming,Natural Light,Screen Print,Young Professionals
Emma,Seascape,Modern,Charcoal,"30""x40""",No,Los Angeles,225,10,Free Shipping,Warm Tones,Original,Print,Living Room,Energetic,Natural Light,N/A,Corporate Clients
Jija,Seascape,Impressionism,Watercolor,"18""x24""",No,Montreal,875,9,Express,Earthy Tones,Original,Real,Office,Reflective,Natural Light,Screen Print,Corporate Clients
Jija,Abstract,Impressionism,Watercolor,"24""x36""",No,Montreal,671,10,Express,Neutral Tones,Copy,Real,Bedroom,Calming,Bright Light,Screen Print,Corporate Clients
Jija,Fantasy,Surrealism,Watercolor,"16""x20""",Yes,Montreal,816,7,Standard,Warm Tones,Original,Print,Bedroom,Energetic,Dim Light,Lithograph,Corporate Clients
Claude,Still Life,Cubism,Charcoal,"16""x20""",No,Miami,649,7,Express,Cool Tones,Original,Real,Office,Energetic,Natural Light,Giclée,Corporate Clients
Noah,Wildlife,Impressionism,Watercolor,"18""x24""",Yes,Calgary,699,3,Express,Earthy Tones,Original,Print,Office,Reflective,Bright Light,N/A,Art Collectors
Claude,Fantasy,Realism,Acrylic,"16""x20""",No,Vancouver,234,7,Express,Oceanic Tones,Copy,Real,Gallery,Joyful,Dim Light,Giclée,Corporate Clients
Pablo,Landscape,Realism,Mixed Media,"30""x40""",No,Chicago,785,3,Standard,Cool Tones,Original,Print,Bedroom,Calming,Natural Light,Giclée,Corporate Clients
Jija,Abstract,Cubism,Watercolor,"30""x40""",Yes,Montreal,581,10,Express,Earthy Tones,Copy,Print,Living Room,Reflective,Dim Light,N/A,Young Professionals
Claude,Wildlife,Realism,Oil,"24""x36""",No,Toronto,657,7,Express,Earthy Tones,Original,Real,Office,Calming,Bright Light,Lithograph,Young Professionals
Emma,Landscape,Surrealism,Mixed Media,"30""x40""",No,New York,299,8,Express,Cool Tones,Original,Real,Office,Relaxing,Bright Light,Screen Print,Corporate Clients
Olivia,Landscape,Surrealism,Oil,"20""x30""",Yes,Calgary,452,6,Standard,Oceanic Tones,Copy,Real,Office,Energetic,Bright Light,Screen Print,Interior Designers
Noah,Seascape,Modern,Acrylic,"16""x20""",Yes,Chicago,707,9,Free Shipping,Earthy Tones,Original,Print,Living Room,Calming,Bright Light,Lithograph,Young Professionals
Noah,Seascape,Impressionism,Watercolor,"24""x36""",Yes,Toronto,384,6,Free Shipping,Earthy Tones,Copy,Real,Gallery,Energetic,Natural Light,Giclée,Corporate Clients
Leonardo,Landscape,Realism,Acrylic,"18""x24""",No,Miami,171,9,Standard,Warm Tones,Original,Print,Gallery,Relaxing,Dim Light,Giclée,Interior Designers
Jija,Abstract,Abstract Expressionism,Watercolor,"16""x20""",Yes,Montreal,813,3,Express,Cool Tones,Original,Print,Bedroom,Joyful,Bright Light,Lithograph,Art Collectors
Noah,Portrait,Surrealism,Watercolor,"24""x36""",No,New York,127,6,Express,Earthy Tones,Original,Print,Gallery,Joyful,Dim Light,N/A,Young Professionals
Leonardo,Abstract,Abstract Expressionism,Oil,"20""x30""",Yes,Montreal,161,7,Free Shipping,Cool Tones,Original,Real,Kid Room,Relaxing,Bright Light,Screen Print,Young Professionals
Pablo,Abstract,Abstract Expressionism,Acrylic,"20""x30""",No,Calgary,452,6,Free Shipping,Neutral Tones,Copy,Print,Gallery,Reflective,Dim Light,N/A,Art Collectors
Olivia,Wildlife,Modern,Charcoal,"24""x36""",No,Calgary,272,7,Free Shipping,Earthy Tones,Original,Print,Office,Relaxing,Natural Light,Screen Print,Families
Liam,Still Life,Abstract Expressionism,Acrylic,"18""x24""",Yes,Los Angeles,840,6,Free Shipping,Earthy Tones,Original,Real,Bedroom,Energetic,Bright Light,N/A,Families
Pablo,Portrait,Impressionism,Charcoal,"16""x20""",No,Los Angeles,225,8,Free Shipping,Warm Tones,Copy,Print,Kid Room,Calming,Natural Light,Screen Print,Families
Liam,Abstract,Abstract Expressionism,Charcoal,"24""x36""",Yes,Los Angeles,539,9,Standard,Cool Tones,Original,Real,Office,Joyful,Bright Light,Lithograph,Young Professionals
Jija,Seascape,Abstract Expressionism,Watercolor,"16""x20""",Yes,Montreal,450,3,Express,Warm Tones,Copy,Real,Living Room,Joyful,Dim Light,Lithograph,Art Collectors
Emma,Abstract,Cubism,Mixed Media,"30""x40""",No,Los Angeles,452,10,Express,Neutral Tones,Original,Real,Gallery,Calming,Dim Light,N/A,Corporate Clients
Frida,Fantasy,Abstract Expressionism,Watercolor,"30""x40""",Yes,Vancouver,853,6,Standard,Cool Tones,Copy,Print,Kid Room,Reflective,Bright Light,Lithograph,Families
Liam,Landscape,Modern,Watercolor,"18""x24""",Yes,Los Angeles,508,9,Express,Earthy Tones,Original,Real,Office,Calming,Dim Light,Lithograph,Families
Claude,Abstract,Abstract Expressionism,Acrylic,"24""x36""",Yes,New York,657,6,Free Shipping,Oceanic Tones,Original,Real,Office,Relaxing,Natural Light,Screen Print,Young Professionals
Leonardo,Landscape,Modern,Acrylic,"30""x40""",No,Vancouver,130,3,Express,Oceanic Tones,Original,Real,Living Room,Relaxing,Dim Light,Giclée,Art Collectors
Frida,Fantasy,Modern,Oil,"18""x24""",Yes,Los Angeles,785,4,Standard,Warm Tones,Copy,Print,Bedroom,Calming,Bright Light,Screen Print,Corporate Clients
Jija,Portrait,Impressionism,Watercolor,"16""x20""",No,Montreal,943,10,Free Shipping,Warm Tones,Original,Real,Kid Room,Reflective,Natural Light,Screen Print,Young Professionals
Leonardo,Landscape,Cubism,Watercolor,"24""x36""",Yes,Chicago,868,4,Express,Oceanic Tones,Original,Real,Office,Relaxing,Bright Light,N/A,Art Collectors
Jija,Fantasy,Abstract Expressionism,Watercolor,"18""x24""",No,Montreal,452,9,Standard,Earthy Tones,Copy,Real,Office,Reflective,Natural Light,N/A,Interior Designers
Noah,Wildlife,Surrealism,Mixed Media,"20""x30""",Yes,Calgary,272,3,Free Shipping,Cool Tones,Original,Real,Office,Joyful,Natural Light,Giclée,Art Collectors
Vincent,Landscape,Modern,Watercolor,"20""x30""",Yes,Chicago,918,8,Free Shipping,Neutral Tones,Original,Real,Living Room,Relaxing,Dim Light,Giclée,Young Professionals
Emma,Landscape,Abstract Expressionism,Charcoal,"20""x30""",Yes,Miami,581,3,Standard,Neutral Tones,Copy,Print,Bedroom,Energetic,Bright Light,Screen Print,Young Professionals
Claude,Still Life,Realism,Oil,"20""x30""",Yes,Calgary,161,6,Free Shipping,Warm Tones,Copy,Real,Office,Reflective,Dim Light,N/A,Interior Designers
Emma,Wildlife,Cubism,Mixed Media,"18""x24""",Yes,Montreal,212,10,Standard,Oceanic Tones,Original,Print,Gallery,Reflective,Natural Light,Screen Print,Corporate Clients
Leonardo,Abstract,Cubism,Mixed Media,"30""x40""",No,Los Angeles,875,8,Standard,Cool Tones,Original,Real,Office,Energetic,Dim Light,Screen Print,Interior Designers
Frida,Landscape,Surrealism,Charcoal,"18""x24""",No,Vancouver,840,7,Express,Earthy Tones,Original,Real,Gallery,Calming,Bright Light,Giclée,Art Collectors
Olivia,Abstract,Modern,Charcoal,"20""x30""",No,Toronto,157,9,Standard,Cool Tones,Copy,Print,Living Room,Relaxing,Bright Light,N/A,Corporate Clients
Vincent,Wildlife,Surrealism,Watercolor,"16""x20""",Yes,Miami,956,8,Standard,Oceanic Tones,Original,Print,Office,Calming,Natural Light,N/A,Art Collectors
Emma,Seascape,Realism,Acrylic,"18""x24""",Yes,Vancouver,212,8,Standard,Cool Tones,Original,Print,Bedroom,Joyful,Natural Light,Giclée,Young Professionals
Pablo,Still Life,Realism,Charcoal,"18""x24""",Yes,Los Angeles,875,3,Express,Cool Tones,Copy,Print,Office,Relaxing,Bright Light,Lithograph,Corporate Clients
Jija,Landscape,Realism,Watercolor,"16""x20""",No,Montreal,404,10,Free Shipping,Warm Tones,Copy,Real,Gallery,Joyful,Bright Light,Lithograph,Young Professionals
Olivia,Portrait,Cubism,Acrylic,"16""x20""",No,Los Angeles,352,4,Express,Earthy Tones,Original,Real,Gallery,Relaxing,Natural Light,N/A,Families
Claude,Fantasy,Realism,Charcoal,"16""x20""",Yes,Toronto,231,10,Free Shipping,Warm Tones,Copy,Real,Office,Relaxing,Dim Light,Giclée,Art Collectors
Jija,Wildlife,Modern,Watercolor,"18""x24""",No,Montreal,508,3,Standard,Warm Tones,Copy,Real,Gallery,Relaxing,Natural Light,Screen Print,Young Professionals
Noah,Fantasy,Realism,Oil,"30""x40""",Yes,Los Angeles,352,5,Standard,Earthy Tones,Original,Print,Kid Room,Joyful,Dim Light,N/A,Interior Designers
Olivia,Abstract,Surrealism,Mixed Media,"16""x20""",Yes,Toronto,222,7,Standard,Cool Tones,Original,Real,Office,Relaxing,Natural Light,N/A,Corporate Clients
Jija,Landscape,Impressionism,Watercolor,"18""x24""",Yes,Montreal,956,10,Free Shipping,Warm Tones,Copy,Print,Office,Relaxing,Natural Light,Lithograph,Families
Pablo,Seascape,Abstract Expressionism,Charcoal,"30""x40""",Yes,Vancouver,344,3,Express,Cool Tones,Original,Real,Office,Reflective,Natural Light,Giclée,Young Professionals
Olivia,Still Life,Abstract Expressionism,Watercolor,"20""x30""",No,Montreal,640,9,Express,Warm Tones,Original,Print,Office,Energetic,Natural Light,Giclée,Art Collectors
Liam,Abstract,Abstract Expressionism,Oil,"24""x36""",No,New York,965,10,Standard,Earthy Tones,Copy,Real,Living Room,Calming,Natural Light,Lithograph,Young Professionals
Frida,Still Life,Realism,Mixed Media,"24""x36""",No,Los Angeles,965,4,Standard,Oceanic Tones,Copy,Real,Office,Joyful,Natural Light,N/A,Interior Designers
Frida,Fantasy,Abstract Expressionism,Watercolor,"30""x40""",No,Toronto,515,10,Free Shipping,Oceanic Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Young Professionals
Vincent,Landscape,Abstract Expressionism,Charcoal,"16""x20""",No,Montreal,265,7,Express,Cool Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Fine Art Print,Corporate Clients
Vincent,Abstract,Realism,Watercolor,"16""x20""",Yes,Miami,857,10,Express,Cool Tones,Original,Real,Kid Room,Relaxing,Bright Light,Lithograph,Interior Designers
Jija,Wildlife,Cubism,Watercolor,"20""x30""",Yes,Montreal,696,9,Free Shipping,Warm Tones,Original,Real,Office,Energetic,Bright Light,Screen Print,Young Professionals
Liam,Still Life,Surrealism,Watercolor,"24""x36""",Yes,New York,909,7,Express,Oceanic Tones,Copy,Real,Living Room,Calming,Bright Light,N/A,Young Professionals
Jija,Portrait,Realism,Watercolor,"24""x36""",Yes,Montreal,225,4,Standard,Earthy Tones,Original,Print,Gallery,Energetic,Dim Light,Giclée,Families
Vincent,Still Life,Realism,Acrylic,"16""x20""",No,Los Angeles,528,10,Express,Warm Tones,Copy,Real,Office,Joyful,Bright Light,Lithograph,Corporate Clients
Frida,Fantasy,Abstract Expressionism,Watercolor,"18""x24""",Yes,Calgary,879,4,Express,Earthy Tones,Original,Real,Bedroom,Joyful,Natural Light,Giclée,Corporate Clients
Frida,Wildlife,Surrealism,Oil,"20""x30""",No,Miami,707,3,Free Shipping,Neutral Tones,Copy,Print,Living Room,Joyful,Dim Light,Lithograph,Families
Leonardo,Seascape,Modern,Watercolor,"16""x20""",No,Chicago,179,3,Express,Earthy Tones,Original,Print,Living Room,Reflective,Dim Light,Screen Print,Corporate Clients
Pablo,Still Life,Abstract Expressionism,Mixed Media,"20""x30""",Yes,Montreal,774,10,Free Shipping,Earthy Tones,Copy,Print,Bedroom,Reflective,Dim Light,Lithograph,Young Professionals
Vincent,Fantasy,Surrealism,Acrylic,"16""x20""",No,Montreal,907,9,Standard,Warm Tones,Original,Print,Gallery,Joyful,Bright Light,Giclée,Corporate Clients
Olivia,Fantasy,Surrealism,Mixed Media,"20""x30""",Yes,Vancouver,719,9,Free Shipping,Cool Tones,Original,Real,Office,Joyful,Bright Light,Giclée,Young Professionals
Frida,Abstract,Modern,Mixed Media,"16""x20""",No,Montreal,157,4,Express,Warm Tones,Original,Real,Kid Room,Calming,Dim Light,N/A,Young Professionals
Vincent,Abstract,Cubism,Oil,"20""x30""",No,Vancouver,179,10,Free Shipping,Earthy Tones,Copy,Print,Office,Relaxing,Natural Light,Screen Print,Art Collectors
Claude,Fantasy,Surrealism,Oil,"18""x24""",No,Los Angeles,222,6,Standard,Earthy Tones,Original,Print,Kid Room,Energetic,Bright Light,Fine Art Print,Corporate Clients
Leonardo,Still Life,Realism,Acrylic,"18""x24""",No,New York,225,6,Express,Neutral Tones,Copy,Print,Kid Room,Joyful,Natural Light,Fine Art Print,Families
Leonardo,Fantasy,Abstract Expressionism,Oil,"30""x40""",Yes,Montreal,348,8,Express,Neutral Tones,Original,Print,Gallery,Reflective,Natural Light,Lithograph,Art Collectors
Emma,Landscape,Abstract Expressionism,Acrylic,"18""x24""",Yes,Montreal,149,4,Standard,Cool Tones,Copy,Print,Living Room,Energetic,Dim Light,Giclée,Young Professionals
Noah,Wildlife,Cubism,Acrylic,"20""x30""",No,Miami,771,7,Free Shipping,Warm Tones,Copy,Print,Bedroom,Energetic,Natural Light,Giclée,Art Collectors
Vincent,Still Life,Modern,Watercolor,"24""x36""",No,Vancouver,516,7,Standard,Cool Tones,Copy,Print,Office,Reflective,Natural Light,Lithograph,Corporate Clients
Olivia,Portrait,Abstract Expressionism,Oil,"16""x20""",Yes,Miami,450,7,Standard,Warm Tones,Copy,Print,Bedroom,Reflective,Bright Light,Screen Print,Interior Designers
Claude,Still Life,Abstract Expressionism,Acrylic,"24""x36""",Yes,Los Angeles,640,7,Express,Warm Tones,Copy,Print,Bedroom,Relaxing,Bright Light,Giclée,Art Collectors
Frida,Landscape,Modern,Mixed Media,"16""x20""",Yes,Toronto,704,9,Express,Neutral Tones,Original,Real,Living Room,Relaxing,Dim Light,N/A,Young Professionals
Emma,Wildlife,Realism,Oil,"16""x20""",Yes,Montreal,696,4,Free Shipping,Earthy Tones,Copy,Real,Living Room,Reflective,Natural Light,Giclée,Interior Designers
Pablo,Abstract,Cubism,Mixed Media,"24""x36""",Yes,Miami,657,8,Standard,Oceanic Tones,Copy,Print,Gallery,Calming,Bright Light,Giclée,Families
Vincent,Still Life,Impressionism,Mixed Media,"20""x30""",No,Los Angeles,225,6,Free Shipping,Warm Tones,Original,Real,Kid Room,Joyful,Bright Light,Lithograph,Families
Ava,Wildlife,Surrealism,Charcoal,"16""x20""",Yes,Chicago,734,9,Standard,Oceanic Tones,Original,Real,Gallery,Energetic,Natural Light,N/A,Corporate Clients
Noah,Seascape,Modern,Charcoal,"30""x40""",Yes,Chicago,924,7,Express,Neutral Tones,Copy,Real,Bedroom,Joyful,Dim Light,Giclée,Families
Pablo,Fantasy,Surrealism,Charcoal,"16""x20""",Yes,Chicago,581,6,Express,Warm Tones,Copy,Real,Office,Reflective,Natural Light,Screen Print,Art Collectors
Jija,Still Life,Realism,Watercolor,"20""x30""",No,Montreal,644,7,Free Shipping,Neutral Tones,Copy,Print,Living Room,Relaxing,Natural Light,Lithograph,Young Professionals
Noah,Fantasy,Cubism,Oil,"18""x24""",Yes,Miami,179,4,Express,Earthy Tones,Original,Print,Gallery,Reflective,Dim Light,N/A,Corporate Clients
Ava,Landscape,Modern,Charcoal,"24""x36""",No,Calgary,640,6,Express,Earthy Tones,Copy,Real,Gallery,Calming,Natural Light,Giclée,Young Professionals
Emma,Still Life,Realism,Acrylic,"20""x30""",No,Montreal,956,3,Free Shipping,Oceanic Tones,Copy,Print,Gallery,Relaxing,Bright Light,Giclée,Corporate Clients
Olivia,Wildlife,Realism,Acrylic,"18""x24""",No,New York,640,7,Free Shipping,Earthy Tones,Copy,Print,Kid Room,Calming,Dim Light,Lithograph,Families
Leonardo,Portrait,Realism,Oil,"16""x20""",No,Chicago,348,7,Free Shipping,Oceanic Tones,Copy,Print,Office,Reflective,Dim Light,Lithograph,Interior Designers
Claude,Wildlife,Surrealism,Mixed Media,"16""x20""",No,Miami,477,9,Free Shipping,Warm Tones,Copy,Print,Office,Relaxing,Natural Light,N/A,Interior Designers
Ava,Abstract,Modern,Acrylic,"30""x40""",No,Toronto,715,3,Free Shipping,Earthy Tones,Copy,Real,Gallery,Joyful,Dim Light,Giclée,Families
Emma,Fantasy,Impressionism,Acrylic,"16""x20""",Yes,Toronto,868,7,Free Shipping,Earthy Tones,Copy,Print,Living Room,Reflective,Dim Light,N/A,Interior Designers
Noah,Fantasy,Abstract Expressionism,Charcoal,"24""x36""",No,Los Angeles,605,7,Express,Oceanic Tones,Copy,Print,Gallery,Joyful,Natural Light,Screen Print,Interior Designers
Noah,Fantasy,Impressionism,Charcoal,"20""x30""",No,Calgary,890,3,Free Shipping,Oceanic Tones,Original,Print,Bedroom,Calming,Bright Light,Giclée,Corporate Clients
Frida,Landscape,Abstract Expressionism,Charcoal,"24""x36""",No,Montreal,499,3,Free Shipping,Cool Tones,Copy,Real,Living Room,Joyful,Bright Light,Lithograph,Corporate Clients
Jija,Wildlife,Modern,Watercolor,"18""x24""",Yes,Montreal,231,8,Free Shipping,Cool Tones,Original,Print,Living Room,Energetic,Bright Light,Lithograph,Interior Designers
Frida,Abstract,Modern,Watercolor,"18""x24""",No,Vancouver,813,4,Free Shipping,Oceanic Tones,Copy,Real,Office,Reflective,Bright Light,Screen Print,Art Collectors
Pablo,Still Life,Surrealism,Acrylic,"24""x36""",Yes,Chicago,469,10,Free Shipping,Neutral Tones,Copy,Print,Living Room,Relaxing,Natural Light,Screen Print,Art Collectors
Ava,Portrait,Surrealism,Acrylic,"24""x36""",Yes,Los Angeles,221,9,Free Shipping,Warm Tones,Original,Real,Bedroom,Energetic,Natural Light,Lithograph,Art Collectors
Leonardo,Seascape,Surrealism,Charcoal,"30""x40""",No,Miami,161,10,Standard,Cool Tones,Copy,Real,Kid Room,Relaxing,Dim Light,Fine Art Print,Art Collectors
Ava,Fantasy,Impressionism,Mixed Media,"30""x40""",Yes,Vancouver,699,8,Free Shipping,Cool Tones,Original,Real,Bedroom,Energetic,Bright Light,Giclée,Art Collectors
Ava,Abstract,Surrealism,Mixed Media,"20""x30""",No,Miami,161,7,Free Shipping,Cool Tones,Copy,Real,Kid Room,Calming,Dim Light,Lithograph,Corporate Clients
Liam,Still Life,Surrealism,Charcoal,"16""x20""",Yes,Los Angeles,825,7,Standard,Neutral Tones,Copy,Print,Living Room,Relaxing,Bright Light,Lithograph,Art Collectors
Vincent,Still Life,Cubism,Oil,"18""x24""",Yes,Toronto,384,3,Standard,Oceanic Tones,Original,Real,Bedroom,Energetic,Natural Light,N/A,Corporate Clients
Emma,Abstract,Realism,Mixed Media,"24""x36""",Yes,Los Angeles,352,9,Express,Oceanic Tones,Copy,Real,Office,Reflective,Dim Light,Lithograph,Families
Olivia,Still Life,Impressionism,Charcoal,"30""x40""",No,New York,334,6,Express,Warm Tones,Copy,Real,Office,Reflective,Bright Light,Giclée,Young Professionals
Liam,Wildlife,Surrealism,Acrylic,"20""x30""",Yes,Los Angeles,508,9,Free Shipping,Neutral Tones,Copy,Print,Kid Room,Relaxing,Dim Light,N/A,Young Professionals
Frida,Fantasy,Cubism,Charcoal,"24""x36""",Yes,Vancouver,179,6,Express,Cool Tones,Original,Real,Kid Room,Reflective,Dim Light,Screen Print,Art Collectors
Noah,Landscape,Modern,Mixed Media,"16""x20""",Yes,Montreal,528,10,Express,Earthy Tones,Copy,Real,Office,Reflective,Natural Light,Screen Print,Interior Designers
Pablo,Seascape,Realism,Charcoal,"16""x20""",No,Los Angeles,130,7,Standard,Warm Tones,Copy,Real,Gallery,Energetic,Bright Light,N/A,Corporate Clients
Liam,Fantasy,Abstract Expressionism,Oil,"20""x30""",No,Calgary,339,9,Express,Warm Tones,Copy,Print,Living Room,Relaxing,Natural Light,Lithograph,Art Collectors
Liam,Still Life,Realism,Mixed Media,"16""x20""",Yes,Calgary,857,10,Express,Earthy Tones,Original,Print,Office,Relaxing,Bright Light,Screen Print,Families
Liam,Fantasy,Realism,Charcoal,"16""x20""",Yes,Los Angeles,975,10,Standard,Neutral Tones,Copy,Print,Kid Room,Energetic,Natural Light,Screen Print,Families
Jija,Wildlife,Impressionism,Watercolor,"16""x20""",Yes,Montreal,469,8,Free Shipping,Cool Tones,Original,Real,Gallery,Joyful,Bright Light,Screen Print,Young Professionals
Noah,Still Life,Impressionism,Charcoal,"20""x30""",No,New York,956,7,Express,Oceanic Tones,Copy,Real,Gallery,Energetic,Dim Light,N/A,Corporate Clients
Ava,Abstract,Realism,Watercolor,"16""x20""",No,Toronto,130,9,Express,Warm Tones,Original,Print,Office,Joyful,Bright Light,Screen Print,Families
Ava,Abstract,Impressionism,Mixed Media,"18""x24""",No,Calgary,909,6,Standard,Earthy Tones,Copy,Real,Bedroom,Joyful,Dim Light,Screen Print,Corporate Clients
Leonardo,Portrait,Modern,Acrylic,"16""x20""",No,Vancouver,339,10,Express,Neutral Tones,Copy,Print,Gallery,Joyful,Bright Light,Lithograph,Interior Designers
Olivia,Abstract,Impressionism,Charcoal,"16""x20""",Yes,New York,909,4,Express,Warm Tones,Copy,Real,Bedroom,Relaxing,Bright Light,Giclée,Corporate Clients
Olivia,Portrait,Abstract Expressionism,Charcoal,"30""x40""",No,Calgary,853,5,Free Shipping,Earthy Tones,Original,Print,Bedroom,Energetic,Natural Light,N/A,Interior Designers
Jija,Seascape,Surrealism,Watercolor,"24""x36""",Yes,Montreal,515,4,Express,Cool Tones,Original,Real,Gallery,Energetic,Dim Light,Giclée,Families
